	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g08950	48.86113318	14.59737678	59.23059965	21.91312	6.341589	12.5444	2.908418	6.359919	13.9638	18.71787	5.671571	6.20918	17.20823	14.57176	7.47356
LOC_Os01g08960	781.6474	185.9674	946.5818	57.817	191.3925	194.5027	62.4968	64.7353	204.3378	182.5297	65.609	73.8669	194.9875	191.039	63.4127
LOC_Os01g08970	946.8617	474.0721	1707.5861	266.6887	326.824	308.5206	216.508	207.3322	346.1142	305.1045	206.8555	212.2799	344.13	293.3888	220.6354
LOC_Os01g09000	933.7151	313.461	1853.4341	92.3202	265.2275	241.7468	130.5623	148.8534	203.9377	176.4208	102.5573	109.6965	190.5476	175.275	101.731
LOC_Os01g09010	1497.8227	657.5076	1613.0078	167.4555	324.3066	375.1395	271.4972	194.3584	287.3246	412.8129	239.7208	228.6601	326.9819	460.339	295.0364
LOC_Os01g09020	306.5088	176.1757	715.9025	74.0417	125.7866	111.4699	70.5334	68.7896	75.7023	63.7112	33.7289	39.3897	97.8515	59.7019	39.6918
LOC_Os01g09030	86.05193	30.07982	395.94195	9.83753	31.60484	27.88873	16.28767	18.11895	14.36261	57.4853	7.68453	6.98517	14.18156	25.8334	10.84193
LOC_Os01g09080	731.4349	2.408059	260.334569	4.97107	202.7423	197.0406	2.360861	2.430664	168.3742	180.1437	2.776697	2.209583	180.7276	169.4173	8.86527
LOC_Os01g09100	69.21565	7.020996	45.304571	30.59605	18.9036	79.2565	6.81058	6.47557	29.3077	89.141	17.41162	21.39909	36.8306	99.4775	14.79094
LOC_Os01g09120	289.3996	144.3749	666.96275	100.493	120.3759	120.0928	83.0585	76.6697	144.6385	169.7663	125.6237	117.9926	160.7218	144.9565	125.1461
LOC_Os01g09200	1566.4917	390.6922	1728.7211	78.1695	410.4074	324.1594	134.9089	135.3891	326.2517	306.1277	128.5924	126.6421	342.9112	325.168	139.8465
LOC_Os01g09220	69.43164	156.98093	220.831027	0.429791	19.38208	81.95439	44.29749	328.9104	18.02462	139.6498	124.9088	337.76	162.6364	185.1243	93.2941
LOC_Os01g09230	13.680875	5.440733	195.608088	3.09283	2.768418	4.976283	1.09399	1.310136	4.257602	4.608007	1.125813	3.063573	5.45721	4.056246	3.22916
LOC_Os01g09246	825.4869	259.3327	1072.9284	93.5378	275.6158	245.5815	102.7345	94.1233	262.9928	210.288	111.6286	83.2263	250.7649	216.622	107.5486
LOC_Os01g09252	228.37313	122.2033	504.1523	22.84704	82.2033	70.1147	44.2129	49.1999	76.2533	65.6859	45.7888	54.7068	82.4185	69.7826	45.0752
LOC_Os01g09260	63.822957	1.292815	65.707262	1.73574	14.58376	13.27487	0.283824	0.179956	13.09692	10.98662	0.318561	2.304044	14.12581	9.32035	0.487427
LOC_Os01g09270	36.33267	0	156.0392	16.1734	23.75973	28.2743	0	12.42645	57.85856	8.50226	7.13342	20.30076	43.37313	22.25846	60.6943
LOC_Os01g09280	143.40357	90.80941	422.22372	77.1472	51.15877	66.8958	25.74997	43.0036	44.43607	50.6194	29.12908	57.4089	36.02988	54.76538	38.4051
LOC_Os01g09300	627.8447	1130.085	1320.4451	93.9908	124.0368	125.4893	248.7177	131.1847	140.8202	129.6804	213.8276	111.3359	154.1983	151.6142	234.9352
LOC_Os01g09305	132.61647	252.0551	537.56071	78.5919	43.51283	41.0426	80.3333	81.8687	58.8411	44.18901	116.0733	73.17	62.461	46.54196	99.3161
LOC_Os01g09310	30.663734	61.67077	160.84727	28.27668	13.85649	10.83028	25.7147	23.36753	15.58496	9.81272	29.04358	18.11491	15.40997	10.74878	27.83082
LOC_Os01g09320	1676.1189	1100.95	2723.3045	239.1824	440.336	397.3115	443.261	295.4374	467.362	421.2132	469.064	282.9405	460.54	454.518	415.882
LOC_Os01g09370	175.70222	120.9904	650.72086	21.78833	54.7117	21.99007	45.1733	38.6412	36.83385	2.671366	30.34512	14.88036	43.3169	4.050498	36.7087
LOC_Os01g09384	7.073684	9.47184	85.734054	0.994976	3.556136	1.422553	4.31855	3.85106	6.402296	0.240218	12.70189	7.03223	4.308922	0.783644	5.2664
LOC_Os01g09410	35.618481	38.81316	312.29719	29.02165	13.18959	1.093468	15.52881	13.57441	17.60874	0.268391	31.26739	15.75208	10.80234	0	21.23055
LOC_Os01g09420	307.1322	153.1241	925.7422	149.3756	84.4222	50.4587	62.2542	65.9448	80.1599	11.54168	59.4879	47.0568	94.2723	22.29544	73.7372
LOC_Os01g09430	372.6595	197.9233	1197.22156	326.297	73.8236	105.0463	70.5146	121.8895	100.6575	82.484	95.2153	125.1184	80.8367	73.4873	88.5223
LOC_Os01g09450	84.66378	149.462	345.751652	4.28221	34.44866	33.22828	68.3941	34.76884	80.395	73.7103	92.7871	56.5284	43.31498	52.6252	61.0703
LOC_Os01g09460	126.93939	5.572506	282.954646	1.41177	22.90348	24.61435	1.576737	4.26045	29.19728	32.17612	1.775888	4.577501	27.7409	31.01433	1.603826
LOC_Os01g09470	50.174612	7.853711	45.803037	0	7.854611	7.24588	0.786271	4.69679	12.58566	11.45574	2.061133	6.171404	11.27057	10.75064	1.949708
LOC_Os01g09500	42.003834	3.0606	60.76379	0	8.912346	7.76902	1.28824	2.541463	4.85378	4.811193	1.46595	2.529207	15.3391	2.898447	3.804008
