	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g08100	5.386821591	4.673014934	5.472740353	6.251416967	5.380351118	5.62940071	5.114322395	5.280244233	5.317128422	5.348952374	4.891402063	5.141567337	5.500499815	5.370344165	4.753527635
LOC_Os01g08110	7.043767466	5.882103457	6.521601557	6.6284397	6.440261649	6.559614756	4.926311894	5.363051544	6.385516843	6.453143515	4.744414183	5.096929608	6.514916571	6.937880286	4.93235423
LOC_Os01g08120	4.874009002	4.79904445	5.035149452	5.405172882	4.790879373	4.791475454	4.589982533	4.979719588	4.710671794	4.7668791	4.784006272	4.766420711	5.015135438	4.93506461	4.753527635
LOC_Os01g08130	5.846587595	5.379559063	5.350630385	6.389161377	5.056122756	5.707813163	5.721241658	5.29733993	5.400087873	6.039826788	5.728298069	5.662303381	5.299555907	5.817512182	5.876095752
LOC_Os01g08140	5.871216523	5.548114245	5.376980381	6.7083526	5.328602816	5.859203684	5.734968503	5.579201383	5.226999502	5.888735576	6.002605588	5.688856294	5.456441257	5.715865988	5.886926251
LOC_Os01g08150	7.052212402	6.789688933	6.821457487	4.481531537	7.222725527	6.979279599	6.754520227	7.021840136	7.326651969	7.065496382	6.478934349	7.296679123	7.495064607	7.328451981	6.501611731
LOC_Os01g08160	5.303592505	5.193970597	5.348576181	6.214624506	5.40531603	5.406320035	5.441913866	5.703470961	5.400087873	5.363880406	5.410750962	5.549638122	5.299555907	5.184965167	5.26268539
LOC_Os01g08170	6.476210278	4.192208206	5.295872166	4.679970973	7.016829508	6.463030898	3.994758419	4.219078809	6.795315805	6.495358585	3.994758419	4.229946258	6.648253776	6.588075557	3.994758419
LOC_Os01g08190	4.915553575	5.379559063	6.135888229	4.679970973	5.020387183	4.904030848	5.542754482	5.483520333	5.413311296	5.074410089	5.266300183	5.488873546	4.997460461	4.955457218	5.032740789
LOC_Os01g08200	8.811154696	8.752084587	8.890221634	8.307875967	8.941386219	8.867433393	8.652352756	8.716178192	8.861346504	8.788250579	8.599185163	8.624617436	8.798206432	8.807659742	8.449069191
LOC_Os01g08220	5.088951289	4.79904445	5.615575774	5.32993843	4.343033275	4.561654361	4.830769231	5.048093008	4.680766556	4.737251637	4.857255926	5.00056052	4.512858926	4.568094014	4.602542711
LOC_Os01g08260	4.955077258	8.54553539	8.487164592	3.994758419	4.924034687	5.056902621	8.537512096	8.641293728	5.036612759	4.822675635	8.516661506	8.582020324	5.015135438	5.230839585	8.276161016
LOC_Os01g08270	8.312680511	8.458500407	8.531643303	8.828304138	8.404715216	8.615247366	8.284523331	8.545960234	8.430538832	8.656646324	8.100898673	8.886794224	8.416501445	8.83515089	8.414723304
LOC_Os01g08280	6.567630099	7.188687267	7.443666563	7.991000121	6.684448128	6.703848852	6.657172547	7.166472404	6.569676697	6.587187172	6.738585923	7.08009816	6.805399887	6.44292848	6.599129297
LOC_Os01g08290	6.767396745	6.432360718	6.534282731	6.783881101	6.99911741	6.870094272	6.323515413	6.694595049	6.817282723	6.646914926	6.304680721	6.678562454	6.828656493	6.867426131	6.573799465
LOC_Os01g08300	6.0419755	5.304064979	4.936213699	4.830158717	6.174799417	6.730096475	5.114322395	5.378861301	6.046683901	6.797732874	4.955626455	5.096929608	5.844108647	6.267829604	4.817954586
LOC_Os01g08310	5.946147611	6.502897977	6.486922006	5.160772025	5.90719633	6.129644741	6.630005184	6.936587628	6.150701436	6.219502184	6.462490201	6.99979404	6.300734167	6.150485527	6.374495036
LOC_Os01g08320	7.72099694	7.822462879	7.93860645	8.567285121	7.797231834	7.734817813	8.023871485	7.729262868	7.816502193	7.720397586	7.794343755	7.600261344	8.129599415	7.608249095	8.400751665
LOC_Os01g08340	6.287165247	5.783572393	6.409595745	6.056144557	6.523265174	6.734422895	6.003656605	6.041611028	6.385516843	6.384015517	6.313953694	6.050129536	6.414689323	6.563267185	6.183694777
LOC_Os01g08350	5.942313393	5.505598124	5.265145679	5.405172882	4.279352977	4.343299338	4.239192326	4.382516048	4.203370018	4.369065093	4.784006272	4.567713985	4.191483538	4.492089267	4.394317358
LOC_Os01g08370	5.946147611	5.928584083	5.79959667	5.774048026	6.482399478	6.163076682	6.349081979	6.241070395	5.386700951	5.407455144	5.467168339	5.78955042	5.467620311	5.433752372	5.582264174
LOC_Os01g08380	7.005992658	5.438644729	6.174662628	5.160772025	6.966659019	8.23932695	5.510136451	5.605132363	7.004585889	8.382169005	5.853348943	5.441036793	7.303182526	8.383965271	5.434111045
LOC_Os01g08400	7.920565794	7.729461985	7.781581203	6.543573078	7.770611081	7.949257396	7.770428795	7.734534261	7.688512104	7.990212242	7.66744299	7.930699925	7.762589361	7.981967372	7.874526663
LOC_Os01g08410	8.821915815	8.649289515	8.681806699	9.044166631	8.60975706	8.573294799	8.576241527	8.439033836	8.588084435	8.655357781	8.66683222	8.64774837	8.656587854	8.631836441	8.666016062
LOC_Os01g08420	7.163843199	7.911578045	8.040065398	7.765507318	7.604177604	7.580266499	8.021316885	8.060134652	7.505778237	7.617797181	7.913822692	7.92817632	7.506979028	7.522650266	7.953383964
LOC_Os01g08430	8.560221341	9.151980533	9.356947845	9.044166631	8.445294299	8.474170257	8.7041258	9.045580727	8.433334538	8.275402314	8.777255179	8.851381826	8.463464095	8.420757661	8.853205185
LOC_Os01g08440	7.497507184	10.25149933	8.630906528	7.916056348	5.511115872	6.081346263	7.314604272	8.190223955	5.400087873	4.969230263	6.323162523	7.346951333	5.422208063	5.0138489	5.762225444
LOC_Os01g08450	7.782642845	7.442781916	7.396441984	6.808167116	7.811363131	7.906609607	7.49938294	7.596522438	7.887719786	8.141732722	7.496972981	7.863593884	7.871372673	8.101102222	7.613986924
LOC_Os01g08460	7.358217681	9.688301522	7.886853024	9.759977817	6.675474112	6.420207692	8.212522049	8.344275697	6.585242837	6.136658156	8.731439973	8.377595871	6.131754443	5.799650898	7.977161244
LOC_Os01g08470	6.83591869	6.694909995	8.041687914	3.994758419	6.925934882	7.152771591	6.288645078	6.73263183	6.727240978	7.111882627	6.276467152	6.660052591	6.991687557	7.631789068	6.225777382
LOC_Os01g08510	6.353189339	9.119741676	7.912224387	5.663573436	6.466751352	6.375977143	8.797936962	8.275639322	6.777487836	6.830674846	8.905076647	8.590004482	6.510077623	6.426412642	8.924441587
LOC_Os01g08520	5.85072655	6.219788688	6.481191562	4.679970973	5.328602816	5.833811969	5.493467479	6.169799366	6.069688799	6.447003706	5.520857718	6.24982427	5.680084784	5.99101881	5.385517102
LOC_Os01g08540	6.070071854	6.629385609	7.035784438	6.214624506	6.374476429	6.306765001	6.623128354	6.968604841	6.099737073	5.953149041	5.930190175	6.020348763	6.312015756	6.17748338	5.908309366
LOC_Os01g08550	5.53628868	5.609066844	6.015586398	5.475523204	5.476957756	5.523349356	5.424180747	5.761050124	5.627905509	5.254619229	4.955626455	5.564335217	5.670800704	5.505304764	4.958580791
LOC_Os01g08560	10.64493213	10.54487284	10.2907628	9.787165914	10.03597019	10.23680038	9.58632962	10.03409723	10.06217791	9.995058614	9.50207546	9.779194368	9.935570716	10.07015748	9.29350855
